id,site_id,title,seller_id,price,date_created,last_updated
MLA1390903113,MLA,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,512225720,73599.0,2023-10-02T14:41:36.000Z,2024-02-28T16:52:01.000Z
MLA914388954,MLA,Google Chromecast With Google Tv De Voz 4.ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,499786196,92499.0,2021-04-01T20:56:07.000Z,2024-02-28T12:52:06.000Z
MLA1404474477,MLA,Chromecast Google Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,1226489690,69999.0,2024-01-25T20:39:18.000Z,2024-02-28T16:52:07.000Z
MLA1391964105,MLA,Onn Uhd Streaming 4k 2 Gb Ram Google Tv 2023 Color Negro Tipo De Control Remoto Control De Voz,207056678,71333.0,2023-10-11T00:15:46.000Z,2024-02-28T16:19:00.000Z
MLA1157311519,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,9198894,95409.06,2022-08-24T19:09:01.000Z,2024-02-28T15:44:31.000Z
MLA1684751338,MLA,Google Chromecast 3ra Gen,262582139,56799.0,2024-02-28T13:42:35.000Z,2024-02-28T16:15:20.000Z
MLA1411002341,MLA,Google Chromecast Con Google Tv Hd - Blanco,144027037,71834.0,2024-02-21T15:49:46.000Z,2024-02-28T12:52:04.000Z
MLA1512421130,MLA,Google Chromecast Hd,226165538,76800.0,2023-09-20T14:11:34.000Z,2024-02-28T16:52:25.531Z
MLA1664307948,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,148613909,92355.0,2024-02-09T16:40:25.000Z,2024-02-28T16:47:56.033Z
MLA1116497725,MLA,Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram,309453406,59990.0,2021-12-18T13:05:42.000Z,2024-02-28T16:19:26.754Z
MLA885080643,MLA,Xiaomi Mi Tv Stick Full Hd 8gb C/control Netflix - Amazon Color Negro,257077964,121999.0,2020-10-23T08:49:56.000Z,2024-02-28T14:34:45.000Z
MLA1412054469,MLA,Google Chromecast 3ra Generación Streaming Hdmi Celular Color Negro Tipo De Control Remoto Negro,82274172,56899.0,2024-02-28T16:25:21.000Z,2024-02-28T16:25:57.000Z
MLA1402472401,MLA,Xiaomi Mi Box S De Voz 4k 8gb  Negro Con 2gb De Memoria Ram,1002842391,119999.0,2024-01-14T15:01:19.282Z,2024-02-28T14:58:08.435Z
MLA1500404334,MLA,Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro Con 2gb De Memoria Ram,155439078,98300.0,2023-09-07T17:57:17.000Z,2024-02-25T19:07:00.000Z
